timestamp,run_id,opportunity_id,strategy,chain_id,chain_name,block_number,block_hash,rpc_provider,token_in,token_out,token_decimals,amount_in,venue,pool_address,pool_type,fee_tier,quote_out,quote_status,liquidity_status,gas_units,gas_price,l1_fee,flash_fee,bridge_fee,mev_fee,gross_pnl,net_pnl,pnl_unit,pnl_status,risk_status,simulation_status,execution_status,final_status,failure_code
2026-09-03T00:00:28.076214,RUN-1788372996,OPP-42161-SPAT-20260903-1788373830,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,50000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:30.487865,RUN-1788372996,OPP-42161-SPAT-20260903-1788373832,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,100000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:32.698372,RUN-1788372996,OPP-42161-SPAT-20260903-1788373835,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,500000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:35.011006,RUN-1788372996,OPP-42161-SPAT-20260903-1788373837,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,1000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:37.487607,RUN-1788372996,OPP-42161-SPAT-20260903-1788373839,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:39.720929,RUN-1788372996,OPP-42161-SPAT-20260903-1788373842,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,10000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:42.037897,RUN-1788372996,OPP-42161-SPAT-20260903-1788373844,Spatial,42161,Arbitrum,,NULL,https://arb1.arbitrum.io/rpc,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,6,50000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:55.954872,RUN-1788372996,OPP-42220-SPAT-20260903-1788373857,Spatial,42220,Celo,,NULL,https://forno.celo.org,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x471EcE3750Da237f93B8E339c536989b8978a438,6,100000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:57.942790,RUN-1788372996,OPP-42220-SPAT-20260903-1788373859,Spatial,42220,Celo,,NULL,https://forno.celo.org,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x471EcE3750Da237f93B8E339c536989b8978a438,6,500000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:00:59.263606,RUN-1788372996,OPP-42220-SPAT-20260903-1788373861,Spatial,42220,Celo,,NULL,https://forno.celo.org,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x471EcE3750Da237f93B8E339c536989b8978a438,6,1000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
2026-09-03T00:01:01.150505,RUN-1788372996,OPP-42220-SPAT-20260903-1788373862,Spatial,42220,Celo,,NULL,https://forno.celo.org,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x471EcE3750Da237f93B8E339c536989b8978a438,6,5000000000,UniV3_to_UniV2,NULL,NULL,500,NULL,FAILED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QUOTE_FAILED,NULL
